Puesto,Url,Título,Autor,Materias,Editorial,Traductor,Colección,Encuadernación,País de publicación ,Idioma de publicación ,Idioma original ,ISBN,EAN,Dimensiones,Peso,Nº páginas,Fecha publicación ,Ilustrador
73,https://www.todostuslibros.com/libros/la-red-de-proteccion-comisario-montalbano-30_978-84-18107-57-3,La red de protección (Comisario Montalbano 30),"Camilleri, Andrea",Sicilia,SALAMANDRA,,Comisario Montalbano, Tapa blanda o Bolsillo,España,Español,Italiano, 978-84-18107-57-3,9788418107573, 220 x 140 mm.,,272,11-03-2021,
64,https://www.todostuslibros.com/libros/resuelve-el-misterio-1-el-secreto-de-la-mansion_978-84-272-1463-7,¡Resuelve el misterio! 1. El secreto de la mansión,Magaziner Lauren,Relatos de aventuras (infantil/juvenil),RBA Molino,"Llasat Botija, Isabel",FICCIÓN KIDS, Cartoné,España,Español,Inglés, 978-84-272-1463-7,9788427214637, 203 x 137 mm.,630 gramos,432,18-04-2019,
84,https://www.todostuslibros.com/libros/el-dia-que-se-perdio-la-cordura_978-84-663-4612-2,El día que se perdió la cordura,"Castillo, Javier",Obra de misterio y suspense,DEBOLSILLO,,BESTSELLER DEBOLSILLO, Tapa blanda o Bolsillo,España,Español,Español, 978-84-663-4612-2,9788466346122, 190 x 125 mm.,324 gramos,456,09-05-2019,
31,https://www.todostuslibros.com/libros/terra-alta_978-84-08-23796-9,Terra Alta,"Cercas, Javier",Ficción moderna y contemporanea,Booket,,NF Novela, Tapa blanda o Bolsillo,España,Español,Español, 978-84-08-23796-9,9788408237969, 200 x 130 mm.,276 gramos,384,17-02-2021,
51,https://www.todostuslibros.com/libros/linea-de-fuego_978-84-204-5466-5,Línea de fuego,"Pérez-Reverte, Arturo",Ficción histórica,ALFAGUARA,,Hispánica, Cartoné,España,Español,Español, 978-84-204-5466-5,9788420454665, 248 x 162 mm.,1127 gramos,688,06-10-2020,
21,https://www.todostuslibros.com/libros/los-privilegios-del-angel_978-84-233-5868-7,Los privilegios del ángel,"Redondo, Dolores",Ficción moderna y contemporanea,Booket,,NF Novela, Tapa blanda o Bolsillo,España,Español,Español, 978-84-233-5868-7,9788423358687, 200 x 130 mm.,218 gramos,304,13-01-2021,
11,https://www.todostuslibros.com/libros/hamnet_978-84-17977-58-0,Hamnet,"O'Farrell, Maggie",Ficción histórica,Libros del Asteroide,"Cardeñoso, Concha",Libros del Asteroide, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-17977-58-0,9788417977580, 215 x 140 mm.,460 gramos,352,22-02-2021,
44,https://www.todostuslibros.com/libros/anna-kadabra-1-el-club-de-la-luna-llena_978-84-08-22323-8,Anna Kadabra 1. El Club de la Luna Llena,"Mañas, Pedro / Sierra Listón, David",Libros de cuentos ilustrados,Destino Infantil & Juvenil,,Anna Kadabra, Tapa blanda o Bolsillo,España,Español,Español, 978-84-08-22323-8,9788408223238, 200 x 140 mm.,284 gramos,128,11-02-2020,"Sierra Listón, David"
65,https://www.todostuslibros.com/libros/el-hombre-en-busca-de-sentido_978-84-254-3202-6,El hombre en busca de sentido,"Frankl, Viktor Emil",Español / Castellano,Herder Editorial,COMITÉ DE TRADUCCIÓN AL ESPAÑO,, Tapa blanda o Bolsillo,España,Español,Alemán, 978-84-254-3202-6,9788425432026, 216 x 141 mm.,228 gramos,168,04-12-2015,
74,https://www.todostuslibros.com/libros/las-aventuras-de-dani-y-evan-3-entrenadores-de-dinosaurios_978-84-08-24037-2,Las aventuras de Dani y Evan 3. Entrenadores de dinosaurios,Las aventuras de Dani y Evan,Edad de interés: a partir de 5 años,Destino Infantil & Juvenil,,Youtubers infantiles, Cartoné,España,Español,Español, 978-84-08-24037-2,9788408240372, 215 x 150 mm.,362 gramos,144,31-03-2021,
1,https://www.todostuslibros.com/libros/el-juego-del-alma_978-84-9129-354-5,El juego del alma,"Castillo, Javier",Género policíaco y misterio,SUMA,,Tinta negra, Tapa blanda o Bolsillo,España,Español,Español, 978-84-9129-354-5,9788491293545, 232 x 156 mm.,,528,25-03-2021,
85,https://www.todostuslibros.com/libros/el-evangelio-segun-maria-magdalena_978-84-666-6889-7,El evangelio según María Magdalena,"Fallarás, Cristina",a.     e. c.-c. 500 c. e.,B (Ediciones B),,Ediciones B, Tapa blanda o Bolsillo,España,Español,Español, 978-84-666-6889-7,9788466668897, 230 x 155 mm.,380 gramos,240,21-01-2021,
66,https://www.todostuslibros.com/libros/el-vizconde-que-me-amo-bridgerton-2_978-84-16327-82-9,El vizconde que me amó (Bridgerton 2),"Quinn, Julia",Narrativa romántica histórica,Titania,"Arruti Illarramendi, Rosa",Titania época, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-16327-82-9,9788416327829, 225 x 150 mm.,454 gramos,352,07-01-2020,
45,https://www.todostuslibros.com/libros/todo-lo-que-sucedio-con-miranda-huff_978-84-663-5041-9,Todo lo que sucedió con Miranda Huff,"Castillo, Javier",Ficción moderna y contemporanea,DEBOLSILLO,,BEST SELLER, Tapa blanda o Bolsillo,España,Español,Español, 978-84-663-5041-9,9788466350419, 190 x 125 mm.,,448,14-01-2021,
75,https://www.todostuslibros.com/libros/panza-de-burro_978-84-121353-3-6,Panza de burro,"Abreu, Andrea",Ficción moderna y contemporanea,Editorial Barrett,,Editora por un libro, Tapa blanda o Bolsillo,España,Español,Español, 978-84-121353-3-6,9788412135336, 210 x 140 mm.,190 gramos,176,15-04-2020,"Sanguinetti, Alessandra"
2,https://www.todostuslibros.com/libros/tomas-nevinson_978-84-204-5459-7,Tomás Nevinson,"Marías, Javier",Ficción moderna y contemporanea,ALFAGUARA,,Hispánicas, Tapa blanda o Bolsillo,España,Español,Español, 978-84-204-5459-7,9788420454597, 240 x 158 mm.,100 gramos,688,11-03-2021,
32,https://www.todostuslibros.com/libros/sapiens-de-animales-a-dioses_978-84-9992-622-3,Sapiens. De animales a dioses,"Harari, Yuval Noah",Historia general y mundial,DEBATE,Joandomènec Ros i Aragonès;,Debate, Tapa blanda o Bolsillo,España,Español,Hebreo, 978-84-9992-622-3,9788499926223, 229 x 155 mm.,640 gramos,496,07-10-2015,
22,https://www.todostuslibros.com/libros/rey-blanco_978-84-666-6854-5,Rey blanco,"Gómez-Jurado, Juan",Obra de misterio y suspense,B (Ediciones B),,LA TRAMA, Cartoné,España,Español,Español, 978-84-666-6854-5,9788466668545, 238 x 162 mm.,900 gramos,528,05-11-2020,
12,https://www.todostuslibros.com/libros/llevame-a-casa_978-84-322-3773-7,Llévame a casa,"Carrasco, Jesús",Ficción moderna y contemporanea,Seix Barral,,Biblioteca Breve, Tapa blanda o Bolsillo,España,Español,Español, 978-84-322-3773-7,9788432237737, 230 x 133 mm.,426 gramos,320,03-02-2021,
86,https://www.todostuslibros.com/libros/el-chisme_978-84-670-6107-9,El chisme,"Mejide, Risto",Ficción moderna y contemporanea,Espasa,,ESPASA NARRATIVA, Cartoné,España,Español,Español, 978-84-670-6107-9,9788467061079, 190 x 125 mm.,378 gramos,224,10-03-2021,
46,https://www.todostuslibros.com/libros/canto-jo-i-la-muntanya-balla_978-84-339-1568-9,Canto jo i la muntanya balla,"Solà Saez, Irene",Ficción moderna y contemporanea,Editorial Anagrama,,Llibres Anagrama, Tapa blanda o Bolsillo,España,Español,Catalán, 978-84-339-1568-9,9788433915689, 22 x 14 mm.,262 gramos,192,08-05-2019,
76,https://www.todostuslibros.com/libros/las-ratitas-1-tres-dos-uno-superpoderes_978-84-08-22574-4,"Las Ratitas 1. Tres, dos, uno... ¡superpoderes!","Ratitas, Las",Ficción general (infantil/juvenil),Destino Infantil & Juvenil,,Youtubers infantiles, Cartoné,España,Español,Español, 978-84-08-22574-4,9788408225744, 215 x 150 mm.,360 gramos,144,19-05-2020,
67,https://www.todostuslibros.com/libros/seis-cuatro_978-84-18107-25-2,Seis Cuatro,"Yokoyama, Hideo",Género policíaco y misterio,SALAMANDRA,,Narrativa, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-18107-25-2,9788418107252, 230 x 155 mm.,,656,14-01-2021,
3,https://www.todostuslibros.com/libros/independencia_978-84-9066-929-7,Independencia,"Cercas, Javier",Ficción moderna y contemporanea,Tusquets Editores,,Andanzas, Tapa blanda o Bolsillo,España,Español,Español, 978-84-9066-929-7,9788490669297, 225 x 148 mm.,559 gramos,400,03-03-2021,
13,https://www.todostuslibros.com/libros/las-ratitas-4-superaventura-entre-las-nubes_978-84-08-24014-3,Las Ratitas 4. Superaventura entre las nubes,"Ratitas, Las",Edad de interés: a partir de 5 años,Destino Infantil & Juvenil,,Youtubers infantiles, Cartoné,España,Español,Español, 978-84-08-24014-3,9788408240143, 215 x 150 mm.,358 gramos,144,24-03-2021,
33,https://www.todostuslibros.com/libros/un-oceano-para-llegar-a-ti_978-84-08-23552-1,Un océano para llegar a ti,"Barneda, Sandra",Ficción moderna y contemporanea,Editorial Planeta,,Autores Españoles e Iberoamericanos, Cartoné,España,Español,Español, 978-84-08-23552-1,9788408235521, 230 x 150 mm.,782 gramos,576,05-11-2020,
47,https://www.todostuslibros.com/libros/adelgaza-con-kaoru_978-84-18524-00-4,Adelgaza con Kaoru,Kaoru,Forma física y alimentación,Kitsune Books,"Morinaga, Makoto",BIENESTAR, Tapa blanda o Bolsillo,España,Español,Japonés, 978-84-18524-00-4,9788418524004, 230 x 125 mm.,220 gramos,96,22-02-2021,
77,https://www.todostuslibros.com/libros/todo-lo-que-necesito-existe-ya-en-mi_978-84-322-3772-0,todo lo que necesito existe ya en mí,"kaur, rupi",Poesía de poetas individuales,Seix Barral,"Sastre, Elvira",Los Tres Mundos, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-322-3772-0,9788432237720, 210 x 133 mm.,284 gramos,200,10-02-2021,
23,https://www.todostuslibros.com/libros/niadela_978-84-17800-73-4,Niadela,"Montañez, Beatriz",Memorias,Errata Naturae Editores,,Libros salvajes, Tapa blanda o Bolsillo,España,Español,Español, 978-84-17800-73-4,9788417800734, 215 x 140 mm.,504 gramos,344,15-03-2021,
93,https://www.todostuslibros.com/libros/yoga_978-84-339-8084-7,Yoga,"Carrère, Emmanuel",Historias reales,Editorial Anagrama,"Zulaika, Jaime",Panorama de narrativas, Tapa blanda o Bolsillo,España,Español,Francés, 978-84-339-8084-7,9788433980847, 22 x 14 mm.,440 gramos,336,24-02-2021,
87,https://www.todostuslibros.com/libros/hanako-kun-el-fantasma-del-lavabo-02_978-84-18645-63-1,"Hanako-kun, el fantasma del lavabo 02","Iro, Aida",Novelas gráficas: manga,Ivrea,,mobpsycho, Tapa blanda o Bolsillo,España,Español,Español, 978-84-18645-63-1,9788418645631, 180 x 130 mm.,,192,01-03-2021,
68,https://www.todostuslibros.com/libros/como-el-rey-de-elfhame-aprendio-a-odiar-los-cuentos_978-84-18002-64-9,Cómo el rey de Elfhame aprendió a odiar los cuentos,"Black, Holly",FICCIÓN E HISTORIAS REALES INFANTILES Y JUVENILES,Editorial Hidra,,LOS HABITANTES DEL AIRE, Libro,España,Español,Inglés, 978-84-18002-64-9,9788418002649, 220 x 150 mm.,,24,29-03-2021,"Cai, Rovina"
4,https://www.todostuslibros.com/libros/el-infinito-en-un-junco_978-84-17860-79-0,El infinito en un junco,"Vallejo, Irene",Ensayos literarios,Siruela,,Biblioteca de Ensayo / Serie mayor, Tapa blanda o Bolsillo,España,Español,Español, 978-84-17860-79-0,9788417860790, 230 x 150 mm.,744 gramos,452,15-03-2021,
78,https://www.todostuslibros.com/libros/arsene-lupin-caballero-ladron_978-84-17821-80-7,Arsène Lupin. Caballero ladrón,"Leblanc, Maurice",Género policíaco y misterio,Roca Bolsillo,"Garza, Lorenzo",, Tapa blanda o Bolsillo,España,Español,Español, 978-84-17821-80-7,9788417821807, 190 x 125 mm.,,224,11-03-2021,
24,https://www.todostuslibros.com/libros/un-cuento-perfecto_978-84-663-5481-3,Un cuento perfecto,"Benavent, Elísabet",Narrativa romántica adulta y contemporánea,DEBOLSILLO,,BEST SELLER, Tapa blanda o Bolsillo,España,Español,Español, 978-84-663-5481-3,9788466354813, 190 x 128 mm.,,640,18-02-2021,
52,https://www.todostuslibros.com/libros/los-crimenes-de-la-carretera_978-84-233-5914-1,Los crímenes de la carretera,"Barker, J.D. / Patterson, James",Obra de misterio y suspense,Ediciones Destino,"Hermoso Oliveras, Julio",Áncora & Delfín, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-233-5914-1,9788423359141, 230 x 133 mm.,610 gramos,624,17-03-2021,
88,https://www.todostuslibros.com/libros/las-armas-de-la-luz_978-84-9139-466-2,Las armas de la luz,"Sánchez Adalid, Jesús",Aventura histórica,HarperCollins,,NARRATIVA HISTÓRICA, Cartoné,España,Español,Español, 978-84-9139-466-2,9788491394662, 230 x 155 mm.,,816,10-03-2021,
94,https://www.todostuslibros.com/libros/el-jardin-de-vidrio_978-84-17553-92-0,El jardín de vidrio,"Tibuleac, Tatiana",Ficción moderna y contemporanea,Impedimenta,"Ochoa de Eribe, Marian",Impedimenta, Tapa blanda o Bolsillo,España,Español,Español, 978-84-17553-92-0,9788417553920, 200 x 130 mm.,465 gramos,360,29-03-2021,
14,https://www.todostuslibros.com/libros/el-huerto-de-emerson_978-84-9066-848-1,El huerto de Emerson,"Landero, Luis",Ficción moderna y contemporanea,Tusquets Editores,,Andanzas, Tapa blanda o Bolsillo,España,Español,Español, 978-84-9066-848-1,9788490668481, 225 x 148 mm.,352 gramos,240,03-02-2021,
69,https://www.todostuslibros.com/libros/la-templanza_978-84-08-18759-2,La Templanza,"Dueñas, María",Ficción moderna y contemporanea,Booket,,Biblioteca María Dueñas, Tapa blanda o Bolsillo,España,Español,Español, 978-84-08-18759-2,9788408187592, 190 x 125 mm.,358 gramos,544,17-03-2021,
5,https://www.todostuslibros.com/libros/breve-tratado-sobre-la-estupidez-humana_978-84-17425-21-0,Breve tratado sobre la estupidez humana,"Moreno Castillo, Ricardo",Filosofía social y política,Fórcola Ediciones,,FCO. JAVIER JIMENEZ RUBIO, Tapa blanda o Bolsillo,España,Español,Español, 978-84-17425-21-0,9788417425210, 180 x 120 mm.,140 gramos,120,19-09-2018,
79,https://www.todostuslibros.com/libros/culpa-mia-culpables-1_978-84-1314-201-2,Culpa mía (Culpables 1),"Ron, Mercedes",Relatos románticos y de relaciones interpersonales (infantil/juvenil),B de Bolsillo (Ediciones B),,Culpables, Tapa blanda o Bolsillo,España,Español,Español, 978-84-1314-201-2,9788413142012, 191 x 128 mm.,500 gramos,448,02-07-2020,
70,https://www.todostuslibros.com/libros/una-rosa-sola_978-84-322-3786-7,Una rosa sola,"Barbery, Muriel",Ficción moderna y contemporanea,Seix Barral,"González-Gallarza, Isabel",Biblioteca Formentor, Tapa blanda o Bolsillo,España,Español,Francés, 978-84-322-3786-7,9788432237867, 230 x 133 mm.,328 gramos,192,03-03-2021,
25,https://www.todostuslibros.com/libros/miss-marte_978-84-204-5432-0,Miss Marte,"Jabois, Manuel",Género policíaco y misterio,ALFAGUARA,,Narrativa Hispánica, Tapa blanda o Bolsillo,España,Español,Español, 978-84-204-5432-0,9788420454320, 239 x 156 mm.,320 gramos,208,04-02-2021,
89,https://www.todostuslibros.com/libros/invisible_978-84-16588-43-5,Invisible,"Moreno, Eloy",Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil),Nube de Tinta,,Nube de tinta, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-16588-43-5,9788416588435, 212 x 141 mm.,,304,30-12-2020,
95,https://www.todostuslibros.com/libros/la-ciudad-de-vapor_978-84-08-23500-2,La Ciudad de Vapor,"Ruiz Zafón, Carlos",Ficción moderna y contemporanea,Editorial Planeta,,Autores Españoles e Iberoamericanos, Cartoné,España,Español,Español, 978-84-08-23500-2,9788408235002, 230 x 150 mm.,406 gramos,224,17-11-2020,
15,https://www.todostuslibros.com/libros/el-principito_978-84-9838-149-8,El Principito,"Saint-Exupéry, Antoine de",Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil),Salamandra Infantil y Juvenil,"Carril, Bonifacio Del",ANTOINE DE SAINT-EXUPÉRY, Tapa blanda o Bolsillo,España,Español,Francés, 978-84-9838-149-8,9788498381498, 180 x 113 mm.,146 gramos,96,15-01-2008,"Saint-Exupéry, Antoine de"
53,https://www.todostuslibros.com/libros/una-corte-de-rosas-y-espinas_978-84-08-15508-9,Una corte de rosas y espinas,"Maas, Sarah J.",Fantasía y realismo mágico (infantil/juvenil),Destino Infantil & Juvenil,"Averbach, Márgara",Crossbooks, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-08-15508-9,9788408155089, 225 x 145 mm.,670 gramos,456,24-05-2016,
6,https://www.todostuslibros.com/libros/una-herencia-peligrosa-amanda-black-1_978-84-17921-37-8,Una herencia peligrosa (Amanda Black 1),"Gómez-Jurado, Juan / Montes, Bárbara",Thriller (infantil/juvenil),B de Blok (Ediciones B),,Amanda Black, Cartoné,España,Español,Español, 978-84-17921-37-8,9788417921378, 211 x 147 mm.,,192,11-02-2021,"FORÉS, DAVID G."
80,https://www.todostuslibros.com/libros/1794_978-84-18107-59-7,1794,"Natt Och Dag, Niklas",Ficción histórica,SALAMANDRA,,NARRATIVA, Tapa blanda o Bolsillo,España,Español,Sueco, 978-84-18107-59-7,9788418107597, 230 x 155 mm.,750 gramos,512,04-03-2021,
96,https://www.todostuslibros.com/libros/el-hijo-del-padre_978-84-233-5916-5,El hijo del padre,"del Árbol, Víctor",Obra de misterio y suspense,Ediciones Destino,,Áncora & Delfín, Tapa blanda o Bolsillo,España,Español,Español, 978-84-233-5916-5,9788423359165, 230 x 133 mm.,538 gramos,416,10-03-2021,
16,https://www.todostuslibros.com/libros/ready-player-two_978-84-18037-08-5,Ready Player Two,"Cline, Ernest",Juegos de PC/ordenador/en línea: guías de estrategia,Nova,David Tejera Expósito;,Nova, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-18037-08-5,9788418037085, 231 x 152 mm.,,464,25-03-2021,
90,https://www.todostuslibros.com/libros/el-paciente_978-84-666-6855-2,El paciente,"Gómez-Jurado, Juan",Obra de misterio y suspense,B (Ediciones B),,LA TRAMA, Cartoné,España,Español,Español, 978-84-666-6855-2,9788466668552, 236 x 161 mm.,,496,07-01-2021,
26,https://www.todostuslibros.com/libros/los-compas-y-el-diamantito-legendario-nueva-presentacion_978-84-270-4794-5,Los Compas y el diamantito legendario (nueva presentación),"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,,4You2, Cartoné,España,Español,Español, 978-84-270-4794-5,9788427047945, 230 x 150 mm.,416 gramos,240,29-10-2020,
48,https://www.todostuslibros.com/libros/conodramas_978-84-08-23345-9,Coñodramas,Moderna de Pueblo,Feminismo y teoría feminista,Zenith,,Moderna de pueblo, Tapa blanda o Bolsillo,España,Español,Español, 978-84-08-23345-9,9788408233459, 230 x 170 mm.,978 gramos,312,24-11-2020,
27,https://www.todostuslibros.com/libros/nosotros-en-la-luna_978-84-08-23738-9,Nosotros en la luna,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,,NF Novela, Tapa blanda o Bolsillo,España,Español,Español, 978-84-08-23738-9,9788408237389, 190 x 125 mm.,310 gramos,480,27-01-2021,
34,https://www.todostuslibros.com/libros/la-anguila_978-84-339-9921-4,La anguila,"Bonet, Paula",TRATAMIENTOS Y MATERIAS ARTÍSTICAS,Editorial Anagrama,,Narrativas hispánicas, Tapa blanda o Bolsillo,España,Español,Español, 978-84-339-9921-4,9788433999214, 22 x 14 mm.,326 gramos,200,24-03-2021,
49,https://www.todostuslibros.com/libros/el-poder-del-ahora_978-84-8445-206-5,El poder del ahora,"Tolle, Eckhart","Mente, cuerpo y espíritu: pensamiento y práctica",Gaia Ediciones,"Iribarren Berrade, Miguel",Perenne, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-8445-206-5,9788484452065, 210 x 145 mm.,450 gramos,220,01-09-2007,
35,https://www.todostuslibros.com/libros/espiritus-y-criaturas-de-japon_978-84-140-3180-3,Espíritus y criaturas de Japón,"Hearn, Lafcadio","Misterios, lo sobrenatural, monstruos y seres mitológicos (infantil/juvenil)",Editorial Luis Vives (Edelvives),"Tobar, Alejandro",Álbumes ilustrados, Cartoné,España,Español,Francés, 978-84-140-3180-3,9788414031803, 275 x 200 mm.,,162,22-03-2021,"Lacombe, Benjamin"
28,https://www.todostuslibros.com/libros/my-hero-academia-no-01_978-84-16693-50-4,My Hero Academia nº 01,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,"Koike, Ayako",Manga, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-16693-50-4,9788416693504, 177 x 111 mm.,208 gramos,192,18-10-2016,
50,https://www.todostuslibros.com/libros/my-hero-academia-no-02_978-84-16693-51-1,My Hero Academia nº 02,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,"Koike, Ayako",MY HERO ACADEMIA, Tapa blanda o Bolsillo,España,Español,Japonés, 978-84-16693-51-1,9788416693511, 177 x 111 mm.,222 gramos,208,29-11-2016,
29,https://www.todostuslibros.com/libros/los-compas-y-la-maldicion-de-mikecrack_978-84-270-4749-5,Los Compas y la maldición de Mikecrack,"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,,4You2, Cartoné,España,Español,Español, 978-84-270-4749-5,9788427047495, 230 x 150 mm.,722 gramos,224,29-10-2020,
36,https://www.todostuslibros.com/libros/la-anomalia_978-84-322-3792-8,La anomalía,"Tellier, Hervé Le",Ficción moderna y contemporanea,Seix Barral,"Martín Sánchez, Pablo",Biblioteca Formentor, Tapa blanda o Bolsillo,España,Español,Francés, 978-84-322-3792-8,9788432237928, 230 x 133 mm.,488 gramos,368,31-03-2021,
54,https://www.todostuslibros.com/libros/klara-y-el-sol_978-84-339-8087-8,Klara y el Sol,"Ishiguro, Kazuo",Ficción moderna y contemporanea,Editorial Anagrama,"Bach, Mauricio",Panorama de narrativas, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-339-8087-8,9788433980878, 22 x 14 mm.,445 gramos,384,03-03-2021,
7,https://www.todostuslibros.com/libros/reina-roja_978-84-666-6441-7,Reina roja,"Gómez-Jurado, Juan",Género policíaco y misterio,B (Ediciones B),Francisco Ferriz Blanquer;,La trama, Cartoné,España,Español,Español, 978-84-666-6441-7,9788466664417, 237 x 161 mm.,820 gramos,568,08-11-2018,
17,https://www.todostuslibros.com/libros/el-duque-y-yo-bridgerton-1_978-84-16327-81-2,El duque y yo (Bridgerton 1),"Quinn, Julia",Narrativa romántica histórica,Titania,"Terés Loriente, Mireia",Titania época, Tapa blanda o Bolsillo,España,Español,Inglés, 978-84-16327-81-2,9788416327812, 225 x 150 mm.,416 gramos,320,07-01-2020,
